title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Under the Parallax of Visual Feminisms: Post-Biological and/or Post-Oedipal	2014	1	Viorella Manolache	1. Viorella Manolache	True	diamond	https://openalex.org/W2748952813; https://openalex.org/W2310668644; https://openalex.org/W2329110763; https://openalex.org/W2010112831; https://openalex.org/W4307478549; https://openalex.org/W42146583; https://openalex.org/W3034145901; https://openalex.org/W2167098510; https://openalex.org/W4241745573; https://openalex.org/W2083711700	Parallax; Psychology; Psychoanalysis; Philosophy; Art; Aesthetics; Communication; Computer vision; Computer science	Cultural, Media, and Literary Studies; Literature, Culture, and Criticism; Art, Politics, and Modernism	Social Sciences	Arts and Humanities	Philosophy	en	article
Feminism, Foundations, and Social Change: Understanding Women’s Philanthropic Nonprofits	2024	1	Elizabeth M. Gillespie; B. A. Fletcher	1. Elizabeth M. Gillespie; 2. B. A. Fletcher	True	diamond	https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W3161492277; https://openalex.org/W1994426242; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W2209906412	Feminism; Social equality; Sociology; Public relations; Social change; Administration (probate law); Exploratory research; Political science; Gender studies; Public administration; Social science; Law	Gender Politics and Representation; Nonprofit Sector and Volunteering	Social Sciences	Social Sciences	Gender Studies	en	article
FEMINISM ANALYSIS IN AUSTEN’S NOVEL “PRIDE AND PREJUDICE”	2015	1	Ni Made Diastuti	1. Ni Made Diastuti	False	closed	https://openalex.org/W2764027441; https://openalex.org/W3116485920; https://openalex.org/W1577439168; https://openalex.org/W3004161269; https://openalex.org/W3103034752; https://openalex.org/W3167829708; https://openalex.org/W1032041215; https://openalex.org/W3107427734; https://openalex.org/W2412354337; https://openalex.org/W3119778438; https://openalex.org/W3131611365; https://openalex.org/W3189488905; https://openalex.org/W3013545856; https://openalex.org/W3185872377; https://openalex.org/W3205146009; https://openalex.org/W2587973604; https://openalex.org/W2570961454; https://openalex.org/W3161415595; https://openalex.org/W2907012616; https://openalex.org/W2792577056	Feminism; Prejudice (legal term); Pride; Humanities; Political science; Philosophy; Theology; Law	Lexicography and Language Studies; Literary Theory and Cultural Hermeneutics; Educational Research and Methods	Social Sciences	Arts and Humanities	Language and Linguistics	en	article
Reading<i>Bitchy Jones's Diary</i>: sex blogging, community-building and feminism(s)	2011	4	Lisa Downing	1. Lisa Downing	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Psychology; Psychoanalysis; Gender studies; Media studies; Sociology	Gender, Feminism, and Media; Social Media and Politics; Media Studies and Communication	Social Sciences	Social Sciences	Gender Studies	en	article
#Feminism: The Influence of Feminist Social Media on the Millennial College Student	2016	1	Ayla Rand	1. Ayla Rand	False	closed	https://openalex.org/W2345630678; https://openalex.org/W3042921509; https://openalex.org/W2489589917; https://openalex.org/W2803617443; https://openalex.org/W2884360527; https://openalex.org/W2889083463; https://openalex.org/W2765860679; https://openalex.org/W2785539263; https://openalex.org/W2319935147; https://openalex.org/W2604633920; https://openalex.org/W3093056677; https://openalex.org/W2016512353; https://openalex.org/W2500646534; https://openalex.org/W266867187; https://openalex.org/W2071540349; https://openalex.org/W2894845141; https://openalex.org/W2952179843; https://openalex.org/W1490119204; https://openalex.org/W2079592114; https://openalex.org/W2914605350	Feminism; Social media; Gender studies; Sociology; Political science; Psychology; Law	Impact of Technology on Adolescents; Education, Sociology, Communication Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
The white woman's burden	1990	93	Antoinette Burton	1. Antoinette Burton	False	closed	https://openalex.org/W2146999791; https://openalex.org/W2088528451; https://openalex.org/W608785936; https://openalex.org/W3170065844; https://openalex.org/W2361854904; https://openalex.org/W656927711; https://openalex.org/W421021154; https://openalex.org/W602435394; https://openalex.org/W620183489; https://openalex.org/W2753624432	Feminism; Ideology; Empire; Gender studies; British Empire; Sociology; Emancipation; White (mutation); Suffrage; Politics; Law; Political science; Chemistry; Gene; Biochemistry	Historical Studies on Reproduction, Gender, Health, and Societal Changes; Historical Gender and Feminism Studies; Religion, Gender, and Enlightenment	Social Sciences	Arts and Humanities	History	en	article
Women, Motherhood and Childrearing	1993	131	Diane Richardson	1. Diane Richardson	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Gender studies; Feminism; Sociology; Child rearing; Psychology; Developmental psychology	Gender, Labor, and Family Dynamics; Rural development and sustainability; Work-Family Balance Challenges	Social Sciences	Social Sciences	Gender Studies	en	book
Review Essay on Global and World Histories of Feminism and Gender Struggle	2023	1	Bridget Brooklyn; Alison Moore	1. Bridget Brooklyn; 2. Alison Moore	True	bronze	https://openalex.org/W2042811659; https://openalex.org/W2384663570; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527	Feminism; Project commissioning; Publishing; Gender studies; Sociology; Media studies; Political science; Social science; Law	Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
The dictionary of feminist theory	1995	206	Humm, Maggie 1945-	1. Humm, Maggie 1945-	False	closed	https://openalex.org/W3126495318; https://openalex.org/W20252701; https://openalex.org/W2132102519; https://openalex.org/W2919823326; https://openalex.org/W2092714958; https://openalex.org/W2140989814; https://openalex.org/W1986078628; https://openalex.org/W2120969145; https://openalex.org/W4220982448; https://openalex.org/W2012742125	Linguistics; History; Sociology; Epistemology; Philosophy	Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Young people’s everyday citizenship and understandings of feminism	2021	1	Rhonda M. Shaw; Victoria E. Thompson	1. Rhonda M. Shaw; 2. Victoria E. Thompson	False	closed	https://openalex.org/W2355650008; https://openalex.org/W4240762098; https://openalex.org/W1548588747; https://openalex.org/W4405262999; https://openalex.org/W2383304772; https://openalex.org/W2066005781; https://openalex.org/W2080540818; https://openalex.org/W2110621609; https://openalex.org/W1774155268; https://openalex.org/W2997034443	Citizenship; Scholarship; Gender studies; Sociology; Politics; Feminism; Qualitative research; Focus group; Media studies; Social science; Political science; Law; Anthropology	Gender, Feminism, and Media; Youth Education and Societal Dynamics; Social Media and Politics	Social Sciences	Social Sciences	Gender Studies	en	article
The Rhetoric of the Nineteenth-Century Feminism in A Pair of Silk Stockings	2007	1	Liu A	1. Liu A	False	closed	https://openalex.org/W2373562576; https://openalex.org/W2391938805; https://openalex.org/W315660140; https://openalex.org/W2931790968; https://openalex.org/W2316111277; https://openalex.org/W2394419611; https://openalex.org/W2006185445; https://openalex.org/W274639851; https://openalex.org/W601614734; https://openalex.org/W276141533; https://openalex.org/W2606909359; https://openalex.org/W1491598691; https://openalex.org/W2292358948; https://openalex.org/W2606266925; https://openalex.org/W2495027591; https://openalex.org/W2313316796; https://openalex.org/W2504163414; https://openalex.org/W2486005899; https://openalex.org/W2482846957; https://openalex.org/W2199296793	Rhetoric; Feminism; Balance (ability); Literature; Gender studies; Aesthetics; Sociology; Art; Philosophy; Psychology; Neuroscience; Linguistics	Literary, Cultural, Historical Analysis; Musicology and Musical Analysis	Social Sciences	Arts and Humanities	Philosophy	en	article
Deleuze and Guattari's Anti-Oedipus	2002	156	Eugene W. Holland	1. Eugene W. Holland	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2548116975; https://openalex.org/W2337538530; https://openalex.org/W2510423000; https://openalex.org/W2931662336; https://openalex.org/W2077865380; https://openalex.org/W2134894512; https://openalex.org/W2053487507; https://openalex.org/W2765597752; https://openalex.org/W2083375246	Deleuze and Guattari; Psychoanalysis; Psychology; Philosophy; Aesthetics	Psychoanalysis, Philosophy, and Politics	Social Sciences	Psychology	Clinical Psychology	en	book
Making Feminism Matter: The Revitalization of a Campus Women's Center.	1988	1	Arden Miller	1. Arden Miller	False	closed	https://openalex.org/W303658029; https://openalex.org/W206608676; https://openalex.org/W1964162469; https://openalex.org/W29488258; https://openalex.org/W2041347532; https://openalex.org/W60043753; https://openalex.org/W209349417; https://openalex.org/W274100598; https://openalex.org/W66006732; https://openalex.org/W1975053146; https://openalex.org/W315240075; https://openalex.org/W27409349; https://openalex.org/W2027151706; https://openalex.org/W249399370; https://openalex.org/W1859938821; https://openalex.org/W21836431; https://openalex.org/W287963792; https://openalex.org/W1992304204; https://openalex.org/W305148689; https://openalex.org/W278929851	Feminism; Center (category theory); Gender studies; Higher education; Sociology; Political science; Pedagogy; Crystallography; Law; Chemistry	Higher Education Research Studies; Feminist Theory and Gender Studies; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Education	en	article
Disney Classics between Feminism and Victimization of Women: A Historical Analysis	2021	1	Kizhan Salar Abdulqadr; Ranjdar Hama Sharif; Roz Jamal Omer; Zanyar Kareem Abdul	1. Kizhan Salar Abdulqadr; 2. Ranjdar Hama Sharif; 3. Roz Jamal Omer; 4. Zanyar Kareem Abdul	True	diamond	https://openalex.org/W2390942812; https://openalex.org/W2391155477; https://openalex.org/W2377362257; https://openalex.org/W2280962619; https://openalex.org/W2392590133; https://openalex.org/W2373946932; https://openalex.org/W2365042155; https://openalex.org/W2387362166; https://openalex.org/W2377966743; https://openalex.org/W2391475263	Feminism; Agency (philosophy); Beauty; White (mutation); Perspective (graphical); Gender studies; Literature; History; Sociology; Art; Aesthetics; Social science; Visual arts; Biochemistry; Gene; Chemistry	Media, Gender, and Advertising; Gender Roles and Identity Studies; Digital Games and Media	Social Sciences	Social Sciences	Gender Studies	en	article
Another hotel room, another city, another training: reflections on co-optation of feminism by development	2017	2	Wendy Harcourt	1. Wendy Harcourt	True	green	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Session (web analytics); Sociology; Reflection (computer programming); Gender studies; Order (exchange); Political science; Advertising; Computer science; Business; Programming language; Finance	Gender Politics and Representation; Tourism, Volunteerism, and Development; Gender, Security, and Conflict	Social Sciences	Social Sciences	Gender Studies	en	article
